Reading isolectic sets from input file: /home/jdellert/synchro/arb/lty/smp-frontiers/experiments/breathing/francois2008-isolectic-areas.tsv
Will write semantic map in DOT format to output files with prefix /home/jdellert/synchro/arb/lty/smp-frontiers/experiments/breathing/francois2008
Extracted isolectic sets from 12 languages.
Proceeding to separating set size 0, 335 potentially deletable links left.
    successful independence test, link (BLOW (WIND),TAKE A REST) can be removed by conditioning on [SCENT]
    successful independence test, link (BLOW (WIND),TAKE A REST) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair MOOD-TAKE A REST using the 20 neighbors of MOOD and TAKE A REST on connecting paths, forming 20 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [GHOST]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [HEART]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [LIFE]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [MIND]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [PAUSE FOR BREATH]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [SCENT]
    successful independence test, link (MOOD,TAKE A REST) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BE ON VACATION-BLOW using the 20 neighbors of BE ON VACATION and BLOW on connecting paths, forming 20 separating set candidates
      Reduced link strength: 2.0
      Reduced link strength: 0.0
    successful independence test, link (BE ON VACATION,BLOW) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BE ON VACATION,BLOW) can be removed by conditioning on [SCENT]
  Attempting to separate pair ONESELF-SUPERNATURAL BEING using the 16 neighbors of ONESELF and SUPERNATURAL BEING on connecting paths, forming 16 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (ONESELF,SUPERNATURAL BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (ONESELF,SUPERNATURAL BEING) can be removed by conditioning on [MIND]
    successful independence test, link (ONESELF,SUPERNATURAL BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (ONESELF,SUPERNATURAL BEING) can be removed by conditioning on [SELF]
    successful independence test, link (ONESELF,SUPERNATURAL BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair INTELLIGENCE-LIVING BEING using the 13 neighbors of INTELLIGENCE and LIVING BEING on connecting paths, forming 13 separating set candidates
      Reduced link strength: 2.0
      Reduced link strength: 0.0
    successful independence test, link (INTELLIGENCE,LIVING BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (INTELLIGENCE,LIVING BEING) can be removed by conditioning on [BREATHE]
    successful independence test, link (INTELLIGENCE,LIVING BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (INTELLIGENCE,LIVING BEING) can be removed by conditioning on [MIND]
  Attempting to separate pair GHOST-TAKE A REST using the 16 neighbors of GHOST and TAKE A REST on connecting paths, forming 16 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (GHOST,TAKE A REST) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (GHOST,TAKE A REST) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (GHOST,TAKE A REST) can be removed by conditioning on [HEART]
    successful independence test, link (GHOST,TAKE A REST) can be removed by conditioning on [LIFE]
    successful independence test, link (GHOST,TAKE A REST) can be removed by conditioning on [MIND]
    successful independence test, link (GHOST,TAKE A REST) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (GHOST,TAKE A REST) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BLOW-LIVING BEING using the 19 neighbors of BLOW and LIVING BEING on connecting paths, forming 19 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [BREATHE]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [GHOST]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [HEART]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [MIND]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [MOOD]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [SOUL]
    successful independence test, link (BLOW,LIVING BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair HEART-TAKE A REST using the 20 neighbors of HEART and TAKE A REST on connecting paths, forming 20 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [LIFE]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [MIND]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [PAUSE FOR BREATH]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [SCENT]
    successful independence test, link (HEART,TAKE A REST) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair DIVINE BREATH-TAKE A REST using the 18 neighbors of DIVINE BREATH and TAKE A REST on connecting paths, forming 18 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (DIVINE BREATH,TAKE A REST) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (DIVINE BREATH,TAKE A REST) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (DIVINE BREATH,TAKE A REST) can be removed by conditioning on [LIFE]
    successful independence test, link (DIVINE BREATH,TAKE A REST) can be removed by conditioning on [MIND]
    successful independence test, link (DIVINE BREATH,TAKE A REST) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (DIVINE BREATH,TAKE A REST) can be removed by conditioning on [SCENT]
    successful independence test, link (DIVINE BREATH,TAKE A REST) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair HEART-PAUSE FOR BREATH using the 20 neighbors of HEART and PAUSE FOR BREATH on connecting paths, forming 20 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [LIFE]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [MIND]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [MOOD]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [SCENT]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [SOUL]
    successful independence test, link (HEART,PAUSE FOR BREATH) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair INTELLIGENCE-LIFE using the 21 neighbors of INTELLIGENCE and LIFE on connecting paths, forming 21 separating set candidates
      Reduced link strength: 2.0
      Reduced link strength: 0.0
    successful independence test, link (INTELLIGENCE,LIFE) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (INTELLIGENCE,LIFE) can be removed by conditioning on [BREATHE]
    successful independence test, link (INTELLIGENCE,LIFE) can be removed by conditioning on [MIND]
  Attempting to separate pair MOOD-PAUSE FOR BREATH using the 20 neighbors of MOOD and PAUSE FOR BREATH on connecting paths, forming 20 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [LIFE]
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [MIND]
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [SCENT]
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [SOUL]
    successful independence test, link (MOOD,PAUSE FOR BREATH) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair LIFE-UTTER using the 21 neighbors of LIFE and UTTER on connecting paths, forming 21 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (LIFE,UTTER) can be removed by conditioning on [ACT OF BREATHING]
  Attempting to separate pair BREATHE-INTELLIGENCE using the 22 neighbors of BREATHE and INTELLIGENCE on connecting paths, forming 22 separating set candidates
      Reduced link strength: 2.0
      Reduced link strength: 0.0
    successful independence test, link (BREATHE,INTELLIGENCE) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BREATHE,INTELLIGENCE) can be removed by conditioning on [MIND]
  Attempting to separate pair BE ON VACATION-PUFF OF BREATH using the 18 neighbors of BE ON VACATION and PUFF OF BREATH on connecting paths, forming 18 separating set candidates
      Reduced link strength: 2.0
      Reduced link strength: 0.0
    successful independence test, link (BE ON VACATION,PUFF OF BREATH) can be removed by conditioning on [SCENT]
  Attempting to separate pair PAUSE FOR BREATH-SELF using the 18 neighbors of PAUSE FOR BREATH and SELF on connecting paths, forming 18 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (PAUSE FOR BREATH,SELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (PAUSE FOR BREATH,SELF) can be removed by conditioning on [MIND]
    successful independence test, link (PAUSE FOR BREATH,SELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (PAUSE FOR BREATH,SELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair PUFF OF BREATH-WHISPER using the 21 neighbors of PUFF OF BREATH and WHISPER on connecting paths, forming 21 separating set candidates
      Reduced link strength: 2.0
      Reduced link strength: 0.0
    successful independence test, link (PUFF OF BREATH,WHISPER) can be removed by conditioning on [LIFE]
  Attempting to separate pair INTELLIGENCE-MIND using the 21 neighbors of INTELLIGENCE and MIND on connecting paths, forming 21 separating set candidates
      Reduced link strength: 2.0
      Reduced link strength: 0.0
    successful independence test, link (INTELLIGENCE,MIND) can be removed by conditioning on [AIR OR WIND]
  Attempting to separate pair PAUSE FOR BREATH-SOUL using the 20 neighbors of PAUSE FOR BREATH and SOUL on connecting paths, forming 20 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (PAUSE FOR BREATH,SOUL) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (PAUSE FOR BREATH,SOUL) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (PAUSE FOR BREATH,SOUL) can be removed by conditioning on [LIFE]
    successful independence test, link (PAUSE FOR BREATH,SOUL) can be removed by conditioning on [MIND]
    successful independence test, link (PAUSE FOR BREATH,SOUL) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (PAUSE FOR BREATH,SOUL) can be removed by conditioning on [SCENT]
    successful independence test, link (PAUSE FOR BREATH,SOUL) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair DIVINE BREATH-SELF using the 19 neighbors of DIVINE BREATH and SELF on connecting paths, forming 19 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [HEART]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [LIFE]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [MIND]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [MOOD]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [SOUL]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [SUPERNATURAL BEING]
    successful independence test, link (DIVINE BREATH,SELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair MOOD-SUPERNATURAL BEING using the 18 neighbors of MOOD and SUPERNATURAL BEING on connecting paths, forming 18 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [HEART]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [MIND]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [SCENT]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [SELF]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [SOUL]
    successful independence test, link (MOOD,SUPERNATURAL BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BREATHE-ONESELF using the 21 neighbors of BREATHE and ONESELF on connecting paths, forming 21 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BREATHE,ONESELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BREATHE,ONESELF) can be removed by conditioning on [MIND]
    successful independence test, link (BREATHE,ONESELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BREATHE,ONESELF) can be removed by conditioning on [SELF]
    successful independence test, link (BREATHE,ONESELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair PRIDE-SUPERNATURAL BEING using the 16 neighbors of PRIDE and SUPERNATURAL BEING on connecting paths, forming 16 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [BREATHE]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [HEART]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [MIND]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [SCENT]
    successful independence test, link (PRIDE,SUPERNATURAL BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BREATHE-INSPIRATION using the 20 neighbors of BREATHE and INSPIRATION on connecting paths, forming 20 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [BLOW]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [HEART]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [LIFE]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [MIND]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [PRIDE]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [SCENT]
    successful independence test, link (BREATHE,INSPIRATION) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair INSPIRATION-SOUL using the 18 neighbors of INSPIRATION and SOUL on connecting paths, forming 18 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [HEART]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [LIFE]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [MIND]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [MOOD]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [SCENT]
    successful independence test, link (INSPIRATION,SOUL) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair GHOST-SELF using the 14 neighbors of GHOST and SELF on connecting paths, forming 14 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [HEART]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [LIFE]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [MIND]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [MOOD]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [SOUL]
    successful independence test, link (GHOST,SELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair INSPIRATION-SUPERNATURAL BEING using the 16 neighbors of INSPIRATION and SUPERNATURAL BEING on connecting paths, forming 16 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [HEART]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [MIND]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [SCENT]
    successful independence test, link (INSPIRATION,SUPERNATURAL BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair DIVINE BREATH-PRIDE using the 15 neighbors of DIVINE BREATH and PRIDE on connecting paths, forming 15 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [BLOW]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [BREATHE]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [HEART]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [INSPIRATION]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [LIFE]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [MIND]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [SCENT]
    successful independence test, link (DIVINE BREATH,PRIDE) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair ONESELF-SELF using the 13 neighbors of ONESELF and SELF on connecting paths, forming 13 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (ONESELF,SELF) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (ONESELF,SELF) can be removed by conditioning on [MIND]
    successful independence test, link (ONESELF,SELF) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (ONESELF,SELF) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair SCENT-SUPERNATURAL BEING using the 18 neighbors of SCENT and SUPERNATURAL BEING on connecting paths, forming 18 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [HEART]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [MIND]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (SCENT,SUPERNATURAL BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair PRIDE-SOUL using the 18 neighbors of PRIDE and SOUL on connecting paths, forming 18 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [HEART]
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [LIFE]
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [MIND]
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [MOOD]
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (PRIDE,SOUL) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair INSPIRATION-MOOD using the 17 neighbors of INSPIRATION and MOOD on connecting paths, forming 17 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [DIVINE BREATH]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [HEART]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [LIFE]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [MIND]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [SCENT]
    successful independence test, link (INSPIRATION,MOOD) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair SOUL-SUPERNATURAL BEING using the 16 neighbors of SOUL and SUPERNATURAL BEING on connecting paths, forming 16 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (SOUL,SUPERNATURAL BEING) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (SOUL,SUPERNATURAL BEING) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (SOUL,SUPERNATURAL BEING) can be removed by conditioning on [LIFE]
    successful independence test, link (SOUL,SUPERNATURAL BEING) can be removed by conditioning on [MIND]
    successful independence test, link (SOUL,SUPERNATURAL BEING) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (SOUL,SUPERNATURAL BEING) can be removed by conditioning on [SELF]
    successful independence test, link (SOUL,SUPERNATURAL BEING) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair LIVING BEING-MOOD using the 16 neighbors of LIVING BEING and MOOD on connecting paths, forming 16 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [GHOST]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [HEART]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [LIFE]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [MIND]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [SOUL]
    successful independence test, link (LIVING BEING,MOOD) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BREATHE-MOOD using the 19 neighbors of BREATHE and MOOD on connecting paths, forming 19 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [BLOW]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [HEART]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [LIFE]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [MIND]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [PUFF OF BREATH]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [SOUL]
    successful independence test, link (BREATHE,MOOD) can be removed by conditioning on [VITAL FORCE]
  Attempting to separate pair BLOW-DIVINE BREATH using the 19 neighbors of BLOW and DIVINE BREATH on connecting paths, forming 19 separating set candidates
      Reduced link strength: 0.0
    successful independence test, link (BLOW,DIVINE BREATH) can be removed by conditioning on [ACT OF BREATHING]
    successful independence test, link (BLOW,DIVINE BREATH) can be removed by conditioning on [AIR OR WIND]
    successful independence test, link (BLOW,DIVINE BREATH) can be removed by conditioning on [BLOW (WIND)]
    successful independence test, link (BLOW,DIVINE BREATH) can be removed by conditioning on [BREATHE]
    successful independence test, link (BLOW,DIVINE BREATH) can be removed by conditioning on [HEART]
